Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
ADIPOR1	-0.2194825	0.271026192
BOLL	-0.078300417	0.271152025
IER3	-0.151432083	0.271180484
KLF7	-0.562695833	0.271198323
TRMT10B	-0.593324167	0.271208244
FASLG	-0.078424583	0.271358006
ZNF512	0.23478875	0.271379678
NUPL1	-0.235620417	0.271433862
FTH1	0.225904167	0.271452362
TAS2R3	-0.13658875	0.271482219
HM13	-0.192404167	0.271489344
KRTAP3-3	-0.08150125	0.271543787
KRTAP3-3	-0.08150125	0.271543787
OR1N1	-0.08882	0.27155603
ENSA	-0.186005417	0.271592137
DNER	-0.134235	0.271733495
TDP1	-0.24177	0.271738946
PACSIN2	0.3055925	0.271803779
LOC646976	0.2078275	0.271847095
COX17	-0.309245833	0.271868526
CYP2D6	-0.179031667	0.271903436
SAP30L-AS1	0.152904167	0.271924536
TMEM171	-0.51623625	0.271932557
MAP3K9	0.246456667	0.271943655
NKAIN3	0.0530375	0.272095435
CCDC186	0.35475875	0.272097456
TBX15	-0.074177083	0.272112166
KRT18	-0.177454167	0.272196739
HNF1A-AS1	-0.080664583	0.272212263
TSNARE1	-0.218944167	0.272224799
GINS2	0.286498333	0.272264335
PWWP2A	-0.06937875	0.272266957
ELMOD1	0.107827917	0.272269089
PTTG1IP	-0.25012875	0.272398294
ZNF271P	-0.2750775	0.272475177
MVK	0.234590833	0.272647228
NPAS2	-0.077714583	0.272694637
SNORD113-4	0.08937375	0.272699193
NLRP13	0.11482125	0.272787207
LSM8	-0.235815417	0.272829062
RPS25	0.1677125	0.272872867
LPL	-0.109629167	0.272970043
SLC13A4	-0.04547375	0.272976727
CACNA2D4	-0.0992975	0.27301566
IGSF9B	-0.312591667	0.273066257
UNQ6125	-0.17769875	0.27308649
RCN3	0.14937375	0.273099511
HSPA12A	-0.109795	0.273122693
USP50	0.060287083	0.27313552
LOC554223	-0.124524583	0.273159129
CYP2W1	-0.21254375	0.273163439
CXXC1P1	-0.10629625	0.273215618
FOXP1	-0.614405417	0.273264485
LOC100128288	0.223362917	0.273450632
CLEC4G	-0.120110833	0.273520868
FAM9B	0.106175417	0.273545113
DUSP13	-0.0716725	0.273725662
KIAA1429	0.1454775	0.273847894
POFUT2	-0.103955833	0.273864438
SGCZ	0.0475275	0.273886577
DTX1	-0.800046667	0.274124849
NDUFB3	0.27106	0.274186424
ZNF77	0.236938333	0.274222162
TAF4B	0.639167083	0.274251373
OR52E6	0.046210417	0.274256268
RLTPR	0.239395833	0.274313943
CCDC102A	-0.118667083	0.274356517
ZNF254	-0.3571425	0.274368735
TBC1D29	-0.046707917	0.274387582
TOP1MT	-0.376017917	0.274412382
INPP5E	-0.124942917	0.274443301
GATC	-0.124400833	0.274500247
TRIM31	-0.08317625	0.274536291
FHL2	-0.131612917	0.274544753
C19orf47	0.11124875	0.27460582
SCN8A	-0.10602375	0.274653845
EMILIN3	-0.100294583	0.274695113
CHST5	-0.089705	0.274709487
AMELY	0.046517917	0.274801185
PIK3R2	0.224128333	0.274839483
LOC400576	-0.098782083	0.274897926
LRRC49	-0.4136725	0.2749007
CBR1	-0.652435417	0.274915827
SPHK1	0.11790625	0.2750102
GP2	-0.11450125	0.275017014
PIP4K2C	0.165788333	0.275132861
EXOC7	0.119905	0.2751956
TIRAP	-0.17726	0.275233786
CNTNAP4	-0.04917875	0.275290266
TBC1D9	0.72333375	0.275339311
SLC6A4	-0.068523333	0.275375586
CSN1S1	0.125971667	0.275395601
FAM131B	-0.144637083	0.275435912
SSX1	-1.077702083	0.275437213
BCL2L14	0.101348333	0.275493222
SMIM3	-0.075812083	0.275625372
SATB2-AS1	0.12469875	0.27563653
ALS2CR12	-0.076456667	0.275656065
OXA1L	0.177444167	0.275683224
CHODL	0.051365	0.275692829
PMCHL1	0.134894583	0.275728339
TRIM42	-0.35770875	0.275735123
ATP11C	-0.425899167	0.275748811
HTATSF1	-0.24980125	0.275773859
MTBP	-0.440770833	0.275837524
RHOV	0.07059375	0.275920284
PIEZO2	-0.827387917	0.27592343
TUBGCP5	0.233195833	0.275928036
BAHD1	0.22498	0.275971735
ZNF847P	-0.12319875	0.276134666
API5	-0.171633333	0.276248213
PMS1	0.24932625	0.27625625
EHD4	-0.295585417	0.276324206
SEC14L3	0.086149583	0.276328202
STUB1	0.08897125	0.276543747
HGH1	-0.180855417	0.276559054
RNF8	0.251575417	0.276565581
FMO6P	0.098457917	0.276578911
FAM35A	0.1798475	0.276610579
THAP4	-0.132285417	0.276642364
THAP4	-0.132285417	0.276642364
LEFTY2	-0.15791625	0.276644823
AP1S1	-0.317439167	0.276787499
OR11H4	-0.072089167	0.276881982
CHRM4	-0.161433333	0.27691159
CAMK1G	-0.064343333	0.276932876
FLJ45950	0.35337875	0.277059383
FLJ40536	0.101355417	0.277067729
UBE2G1	0.186619167	0.277071733
ALDH16A1	-0.163407083	0.277105723
EFCAB7	0.17018625	0.277295577
CDC34	-0.191674583	0.277320568
MAP2K1	0.368734167	0.277345876
MSANTD3	-0.380117083	0.277390901
SNORD116-13	0.42021875	0.277394597
SPZ1	-0.049218333	0.277425125
THY1	-0.57403625	0.277524802
RHOXF1	0.20580625	0.277585928
CYBB	1.500000833	0.277663856
KRT33A	-0.09706	0.277786
POU3F2	-0.121894583	0.277876492
PCDHB7	0.04904	0.277977253
GPR32	0.088640417	0.277994579
RBAK	-0.176624167	0.278017774
LINC00965	-0.19894125	0.278028029
LINC00965	-0.19894125	0.278028029
COPS8	-0.106130833	0.278095098
SLC6A5	-0.10118125	0.278231153
TMTC2	-0.413199583	0.27826689
PCSK4	-0.150727083	0.27828107
SPANXA2-OT1	-0.087040833	0.278370268
CASP2	-0.377029583	0.278405791
GET4	-0.174267083	0.278414408
SNAPC1	-0.29152375	0.278472227
SRPK2	0.383624167	0.278514181
DEFB112	-0.059490833	0.278563117
DPP10	-0.078319167	0.27861929
LOC100132356	-0.084353333	0.278691954
MLH3	-0.47194625	0.278916551
TSPAN3	-0.55432875	0.278921294
PICK1	0.25422	0.279078547
CLDN16	-0.2107725	0.279145075
ZNF528	-0.473583333	0.279177307
TRPC6	-0.227295833	0.279232244
S100A11	0.942075	0.279289943
MRPS22	0.174484167	0.279430188
C9orf117	-0.076360417	0.279438657
ATL2	-0.223162083	0.279462132
C3AR1	0.364963333	0.279621316
AADACL3	0.10759125	0.279688456
UHRF1	-0.59063875	0.279740997
FAM162B	-0.090932083	0.279775447
CAB39	0.210042917	0.279790862
RAB3C	-0.100553333	0.279915809
FAM122B	-0.200734583	0.279944382
ZNF830	0.2321825	0.280024637
GPM6B	-0.679112083	0.280061642
PTPN1	-0.462540417	0.28014031
SCN3A	-0.8027675	0.280157446
SGTB	0.434414583	0.280322048
BST2	0.57579125	0.2805257
SIK3	0.337832917	0.280552201
HMGN1	0.155799583	0.28067817
PDIA5	-0.337484167	0.280683723
BORA	-0.209155417	0.280698743
ZDHHC1	-0.140437083	0.280716875
GYS2	-0.066265	0.280767149
SLC5A3	0.457919167	0.280805297
GXYLT1	-0.332250417	0.280806557
CCDC80	0.269004583	0.280808236
CHMP5	0.24360625	0.280891838
S100A12	0.112106667	0.280995071
SNRNP25	-0.16388875	0.281013504
RYR1	-0.092222917	0.281095706
MEF2C	1.229215417	0.281231473
FLJ32154	-0.136241667	0.281268435
MYF6	-0.097438333	0.281334819
SLC16A6	0.823855833	0.281357077
SEMA6B	-0.11444625	0.281376589
GPALPP1	-0.16458625	0.281388495
CPE	-0.045055	0.281429883
ANKRD29	-0.0920675	0.281441739
GHSR	-0.081105417	0.281471845
CCDC67	-0.045688333	0.281546895
OR5B17	0.051163333	0.28154966
ZC3H15	0.23729625	0.281562653
SLC4A3	-0.122890833	0.281613744
SMDT1	0.174592917	0.281667549
APC2	-0.130325417	0.28170765
CCL17	-0.560781667	0.281732155
RAI1	0.235036667	0.281757104
TMED6	0.083445	0.281781602
ZNF74	-0.19176875	0.281800723
NRXN1	-0.07243	0.281820672
SMEK2	0.25898	0.281832759
TERC	-0.42208125	0.281887032
TMEM192	-0.1935875	0.281888019
TBPL1	-0.27367	0.281992824
CPTP	-0.2424425	0.282004301
SNORA54	-0.18997875	0.282016935
YPEL2	0.544906667	0.282017994
PLEKHB1	0.355476667	0.282023828
HLA-L	-0.196615	0.282190387
CCDC33	-0.0963825	0.282228439
NABP1	0.78362	0.282315918
DEFB130	-0.08072625	0.282353822
DEFB130	-0.08072625	0.282353822
MRPL13	-0.227736667	0.2824932
SNORD1A	0.41942625	0.282591599
COX17	-0.29558875	0.282703609
RNF145	-0.285602917	0.282726705
CPNE3	0.800640417	0.282775514
MYCBP2	0.275374583	0.282845977
PYGB	-0.363395833	0.282920082
CHEK2	-0.27758625	0.282972608
OR6C1	0.096809167	0.282973266
TLE4	-0.8029825	0.283071382
HSP90AA4P	-0.260950417	0.283084648
SH2D4B	-0.583676667	0.283107939
PEX12	0.23308375	0.283195051
PDSS2	-0.325370833	0.283200154
C6orf25	-0.093688333	0.283218885
SASH3	-0.321488333	0.283223085
PRKAR1B	-0.198052083	0.283238515
ARPP21	0.9969725	0.283354771
GPR176	0.117559583	0.283469546
PRDM8	-0.359940833	0.283618999
EIF5B	0.199431667	0.283646189
TMEM130	-0.272342917	0.283658651
LINC00602	-0.114135833	0.283659947
ADORA3	-0.4360325	0.283730158
ZNF266	0.207094167	0.283734769
CLIP1	0.332413333	0.283811768
NUDT14	0.26824625	0.2839214
R3HDML	-0.113344167	0.283927277
TCFL5	0.170895417	0.283936476
SEMA5A	-0.100142083	0.283981662
TEAD4	0.327979167	0.284010906
LOC55338	-0.15027625	0.28403678
RTP1	-0.097740833	0.28420392
LOC100133469	0.064851667	0.284219271
SERTAD3	0.21909125	0.284231111
MED12	-0.241345833	0.284253456
POMP	-0.208785	0.284691795
ABCA8	-0.234875	0.284739292
GADD45A	0.467739167	0.284741037
CLCF1	0.126805	0.284764269
ACOX1	0.246237917	0.284851107
FAT4	-0.189024583	0.284859251
UCN2	0.127562083	0.284867011
PDE8B	0.2014075	0.284965039
PRR27	-0.052418333	0.284977569
AGO4	0.33900875	0.284988514
GALP	-0.08875625	0.285087227
C8A	0.047760833	0.28520406
FLOT2	-0.28876	0.285239655
TRNT1	0.44703875	0.285257341
ATXN7L3	-0.199147917	0.285274252
SERPINA3	-0.071471667	0.285408373
ZNF45	-0.336339583	0.285456634
SNX27	-0.212164167	0.285466864
KLF15	-0.110270417	0.28547667
CYP4Z1	-0.193464167	0.285499289
SERTAD2	0.57900875	0.285542613
SNORD43	0.3910625	0.285570606
SERPINB9	1.325622083	0.285586584
NUTM2A	0.14512875	0.285612823
GMNN	0.209376667	0.285656757
GOSR2	-0.1643525	0.285735145
LRCH1	0.644899167	0.285775296
ZNF566	-0.67727	0.285789105
ZNF256	-0.629555417	0.285840518
SLC43A2	0.49384125	0.285864125
KRTAP5-6	-0.105489167	0.285967812
H2AFJ	-0.134600833	0.285983966
PIK3C2A	0.275650833	0.286066775
CLCN1	-0.1118925	0.286212936
CC2D2A	-0.273231667	0.286395624
APOC1	-0.0864825	0.286428065
DOCK5	-0.0467125	0.286526369
ZDHHC18	-0.27978375	0.286530629
NFRKB	-0.15131625	0.28659095
PGLYRP3	-0.065258333	0.286639712
HOXC13	-0.08812125	0.286647558
GFRA3	-0.318855833	0.286701511
C6orf120	-0.253332083	0.28677097
HOXC11	-0.08335375	0.286833834
DDX51	-0.135801667	0.28688912
ACTR3C	-0.192085417	0.286934119
ZNF713	-0.36355	0.287091923
ITGA7	0.146259167	0.287140005
ARMC7	-0.180739167	0.287164339
SNORD28	0.225430833	0.287218954
C17orf82	0.132172083	0.287224351
ALDOC	0.495992917	0.287261554
CCR4	-0.629205833	0.287369481
XIRP1	-0.08450875	0.2873951
GRB7	-0.387165833	0.287528241
SNORD83B	0.134723333	0.287549323
IGBP1P1	-0.264005417	0.287583998
ADI1	-0.38705125	0.287685643
ZNF419	-0.174669167	0.287831597
ST6GALNAC5	-0.11784375	0.287833032
THNSL2	-0.171900833	0.287886183
IPCEF1	0.296849167	0.287915937
IRGQ	-0.069577083	0.287943374
OTP	-0.104304167	0.288041463
MFHAS1	0.6580275	0.28805099
ANGPT2	-0.059955833	0.288087557
SMIM11	0.225340417	0.288162458
ZNF552	0.17909	0.288205907
ZFAND2A	-0.278695	0.2883162
MRPL18	-0.207487083	0.288393907
BAALC	-0.048629167	0.288471442
TESC	-0.439370833	0.288516791
LOC642648	-0.123676667	0.288553073
RAP1A	0.36707375	0.288591585
RALGPS2	0.789650417	0.288599469
EIF2S2	-0.21552125	0.288672236
14-Sep	-0.108575833	0.288682378
ZMYM4	-0.133482083	0.288683833
FAM171A2	0.2117	0.288708999
SIPA1L1	0.383679583	0.288717029
FLJ23865	-0.121769167	0.288727556
DCST1	-0.101080833	0.288735269
CCDC176	-0.090638333	0.288785745
ABHD8	0.243929583	0.288795664
ATAD3C	0.120293333	0.288799623
LY6K	-0.084435	0.288819103
DUSP11	0.140646667	0.288834512
GDI2	0.144320833	0.288837217
PLA2G2C	-0.086918333	0.2888405
ZNF586	-0.200372917	0.28884084
PROX1	-0.360367917	0.288942903
CYP4F22	-0.04945125	0.288947003
ACER2	0.21256625	0.288956937
ZNF784	-0.12806375	0.28900958
CSPG4	0.087709583	0.289113033
TROAP	-0.198018333	0.289177119
MUL1	0.127487917	0.289209854
UXT	-0.216087083	0.28933701
CEP170	-0.434073333	0.289417005
BEST3	-1.222027083	0.289448326
IL17RA	-0.193154167	0.289555851
PDE3A	-0.050937917	0.289573929
RPAIN	0.28784	0.28966438
PHEX	-0.920299583	0.289684279
KIAA1467	-0.559618333	0.289758239
ASNSD1	0.2060275	0.289799199
POLL	0.23828375	0.289834114
ZNF3	-0.29757625	0.289857159
ZAN	-0.112470833	0.290046
TCEANC2	0.13992125	0.290052514
CKS1B	-0.151693333	0.290060979
GABARAPL3	0.176379167	0.290080609
ACCS	-0.266825	0.290116723
OR51L1	0.07274625	0.290139117
ENG	-0.342380833	0.290186631
NXPH3	-0.095451667	0.290250677
NKAIN2	-0.105785417	0.290251355
SLC7A1	-0.209736667	0.290274595
SLC35G1	0.345403333	0.290286896
SCLY	-0.21566625	0.290297325
SLC52A2	-0.159141667	0.29031133
TMEM100	-0.106275833	0.290311772
HIST1H4D	0.674043333	0.290368605
HHAT	0.26259125	0.290395625
BECN1	-0.198185417	0.290416712
MS4A6E	0.086650833	0.29045497
GAD2	-0.0742375	0.290521318
KIF6	-0.103650417	0.290521347
ARHGAP6	0.432044583	0.29060034
SNRPG	0.2148575	0.290602217
CD38	1.174126667	0.290611139
ANTXR2	-0.60630875	0.290727926
DNAH6	0.179314167	0.290775344
SEC61B	0.328939167	0.290842915
LINC00921	0.151225417	0.290868492
POLI	0.232153333	0.290889556
TIMM50	0.099246667	0.290908928
DTNA	-0.052230833	0.290979075
ALS2CR11	0.04534375	0.290990521
SNORD116-6	0.6631475	0.291017862
KREMEN1	-0.278354167	0.291105329
CCDC68	-0.087480833	0.29114451
ALYREF	-0.1489875	0.291406762
FLI1	0.681992917	0.291612678
NR2F1	-0.104073333	0.291614633
SNAPC3	-0.21028375	0.291629233
COPA	-0.128341667	0.291690086
RPL31	0.2741625	0.291744931
CCT6B	0.1853575	0.291915305
SPATA5	-0.382610417	0.291956032
FAM136BP	-0.13406875	0.292175643
IGF1R	-0.624871667	0.292216925
IFI6	0.929365833	0.292233889
KBTBD4	0.112195417	0.292276393
ZFP36	0.361347917	0.292347799
LUM	0.100829167	0.292473011
SUGT1P3	0.152566667	0.292493929
RFX2	0.177455	0.292519983
ITM2B	-0.315963333	0.292527885
FGL2	-0.560462083	0.292528581
LINC00339	0.53339	0.292570811
TSFM	-0.238995	0.292597637
ZIC2	-0.1070275	0.292637652
IL11RA	0.11158125	0.292661436
CMTM5	-0.110260833	0.292666657
RPL11	0.143416667	0.292667447
C11orf52	-0.104350833	0.292694715
MYL12B	-0.278904583	0.292716036
KCNMB3	-0.704440833	0.292724555
ZNF780A	0.4050825	0.292857488
SP140L	-0.299334167	0.292859499
TM7SF2	-0.331323333	0.292945873
C1orf167	-0.12907125	0.29305883
LOC146880	-0.100630833	0.293088888
TMEM87B	0.277656667	0.293123565
LOC100130269	-0.126655	0.293136266
LINC00965	-0.208654167	0.293311524
LINC00965	-0.208654167	0.293311524
ZNF131	-0.25714375	0.293339538
SNORD116-14	1.546699583	0.293366495
DDHD2	-0.441443333	0.29337774
GGCX	0.271020417	0.293381235
FBXL19	-0.134447083	0.293389486
LIMA1	0.821399583	0.293473694
TROVE2	-0.245549583	0.29349791
PAFAH1B2	0.24613875	0.293501328
ZNF90	0.181470833	0.293505389
ADAMTSL2	-0.12819625	0.293533432
MYO6	-0.966263333	0.293619618
MUTYH	-0.107977917	0.293627417
ZNF311	-0.095473333	0.293662479
ZNF311	-0.095473333	0.293662479
LINC00314	-0.074145833	0.293701131
TMEM14A	-0.749542917	0.293749954
HMGB3P22	0.2034775	0.293798079
PDPN	0.114122917	0.293876993
PAPD4	0.166594583	0.293900327
TSNAX	-0.284664583	0.293939104
FAM71E2	-0.1097975	0.294073394
JADE1	-0.283432917	0.294080642
TRAPPC1	0.3420125	0.294168585
PAPPA-AS1	0.104560833	0.294200502
LETMD1	-0.252330833	0.294329522
ST6GALNAC6	0.2729175	0.294339805
XRRA1	-0.25008	0.294391659
RCAN1	-0.142728333	0.29439808
SLC35B1	-0.2742775	0.294436324
IPO4	-0.195789167	0.294456027
ITSN2	0.453722083	0.294527277
ADNP2	0.272543333	0.294538863
CPLX2	-0.103049583	0.294629229
DPP3	0.118467917	0.294702099
PYROXD1	-0.38365875	0.294764258
HDAC9	0.693962083	0.294871324
AKAP9	-0.264462917	0.294949088
SAA4	0.05358	0.29513415
ZNHIT1	-0.12339875	0.295134846
TRIM62	-0.1674375	0.295231156
KREMEN2	-0.198822083	0.295388274
MARCKSL1	0.138219167	0.295464584
PLA2G2A	-0.121672083	0.295725863
HGH1	-0.209339167	0.295759622
KLHL10	0.073049583	0.295804722
CCL24	-0.087399167	0.295938802
SNORD115-40	0.087749167	0.296009169
RPL4	0.104244167	0.296058817
SLC35F2	-0.32019625	0.296084196
DHX36	0.167384167	0.296095366
YWHAZ	0.1078	0.29612266
RCBTB1	0.375064583	0.29613051
SIKE1	0.201566667	0.296139882
LINC00116	0.156462083	0.296158132
HAX1	-0.239067917	0.296222933
IFT27	0.204990417	0.296267404
MUM1L1	-0.082735417	0.296376256
MEDAG	-0.098489167	0.29639328
EIF2A	0.171225417	0.296396896
NUTM2A	0.132470833	0.296409287
ADRA1A	0.074732917	0.296427802
CLEC5A	0.06491625	0.296432985
PHF3	-0.165225833	0.296494174
CKS1B	-0.1270125	0.296544909
DEFB127	0.061965	0.296771353
SLC39A1	-0.12805875	0.296780309
ST6GALNAC1	-0.120485	0.296805332
TASP1	-0.250115417	0.296807343
TNRC18	-0.18219	0.296953995
ZNF775	-0.149459583	0.296955249
POM121L9P	0.172682917	0.296955646
KIAA0556	-0.17402	0.296980051
MIR1-1HG	-0.082887083	0.296996138
TTYH3	-0.495994583	0.297046826
RXFP2	-0.046905	0.297144371
TSPAN13	-1.193590833	0.297181671
PLB1	0.046361667	0.297216843
ZNF683	-0.08457875	0.297223584
TGFBRAP1	-0.180467083	0.297361679
EMC3	0.151599583	0.297541265
OR8H3	-0.0542275	0.297560117
DUT	0.122743333	0.29756013
CYP11B1	-0.14156625	0.297702748
COL4A1	-0.083646667	0.297757489
ADCY5	-0.169434167	0.297829664
C2orf73	0.0498525	0.297919528
PDGFRL	-0.128887083	0.297919878
HOOK1	-0.613237083	0.297921098
ABCA9	0.133877083	0.297932342
MDN1	0.301816667	0.297964435
CAPZA3	0.053372083	0.297967632
NACC1	0.168304583	0.297998268
ALCAM	-1.045544583	0.298003532
IDI2-AS1	0.098133333	0.298064846
ABCA13	-0.04578	0.298098999
KRT28	-0.066904583	0.298102916
CAMSAP2	-0.843442917	0.298110097
OFD1	-0.389040833	0.29812168
PLBD1	-0.76576875	0.298158581
NDNF	0.06369125	0.298219808
WASIR2	-0.120145417	0.298258539
ARMCX4	0.08047375	0.298271471
IL6R	-0.591542083	0.298375936
ZSWIM3	-0.165380417	0.298416981
ADGRE4P	-0.129051667	0.298453139
SLC22A24	-0.078129167	0.298478395
FNDC3B	0.307602917	0.29847865
ZNF521	-0.658615417	0.298503209
HIST2H4B	-0.336649167	0.298514907
HIST2H4A	-0.336649167	0.298514907
FCGBP	0.29271625	0.298555336
LOC646471	0.145035417	0.298575242
AIMP2	-0.236609167	0.298654105
PSMA1	-0.157470833	0.298799264
LOC692247	-0.162474583	0.298807099
CCDC9	0.136687917	0.298910539
ACTB	0.127476667	0.298931013
PSMA7	-0.231849167	0.298961786
LRRFIP1	0.227843333	0.299017517
ADAP1	-0.108529583	0.29922064
ALG3	-0.13650375	0.29926905
METRNL	-0.134895833	0.299394261
C11orf72	-0.079441667	0.299587747
STX5	0.175240833	0.299720236
ZNFX1	0.202695417	0.299732803
LINC01165	-0.178889583	0.299753611
NDUFS6	-0.16152125	0.299835773
SRSF7	0.229297917	0.299847627
HMX1	-0.09260375	0.299872797
PROSER2	0.139015833	0.300066431
KLRC1	0.159351667	0.300084869
MECR	0.1411425	0.300108298
GTF3C2	0.097882083	0.300148459
ANKRD27	-0.17683	0.300163448
DEFB136	0.05177625	0.30021348
RTFDC1	-0.172669167	0.300244471
DENND2C	-0.118383333	0.30029089
HDAC7	-0.23490625	0.30030617
LOC440867	0.101731667	0.300434236
MAFK	-0.33560125	0.300449711
LRRC75A-AS1	0.221399167	0.300548603
CEBPG	-0.228778333	0.300584065
SPSB2	-0.090334583	0.300657262
MAGEB3	0.147235833	0.300694388
DENND1B	0.606860417	0.300831782
GPR173	-0.117975	0.300832016
IFT22	-0.374242083	0.300848058
PCNXL2	-0.385137917	0.300863555
ANGPTL6	0.307242917	0.300921499
CA5A	0.109707083	0.300938869
RPL23AP32	-0.174485833	0.300996403
CFAP43	0.036364583	0.301021951
GALNT9	-0.07109	0.301087256
ARMC12	0.188997917	0.30109455
ISG15	0.230641667	0.301125427
SPINK6	-0.055016667	0.301144303
PSMF1	-0.146435833	0.301195654
COX5A	0.183335417	0.301209951
KXD1	0.126202917	0.301223145
DNAH10	-0.041365417	0.301330931
MTNR1B	-0.092122083	0.301360585
SGK223	0.31116875	0.301416462
SNORD96A	0.2109925	0.301453145
TMEM173	-0.207053333	0.301467944
RALGAPA1	-0.423856667	0.301506439
RALGAPA1	-0.423856667	0.301506439
GAST	-0.1422275	0.301583089
BTN2A1	-0.29967375	0.30160407
LMF2	0.23943125	0.301618367
DCST2	-0.057539167	0.30166971
SLC6A13	-0.084426667	0.301669912
FAM90A1	0.100125417	0.301685674
ZNF662	-0.0978625	0.301726867
PRSS35	-0.08940375	0.301770979
SQSTM1	0.204252083	0.301808577
NMBR	-0.09218125	0.301816102
POMC	-0.103485	0.301866218
TPTE2P3	0.193323333	0.301897723
LRP12	-0.104210833	0.301932459
SLCO1B7	0.1181325	0.301940225
IL23R	-0.197068333	0.301944027
DPEP2	0.191862917	0.302093605
CUZD1	-0.581565	0.302102752
GABRG2	-0.063476667	0.302113813
LCE1A	-0.143646667	0.302146255
TESK2	0.416481667	0.302175057
DPYD	-0.591179583	0.302185988
PGRMC2	-0.254429583	0.302199054
PLEKHM1	-0.245711667	0.302237009
HDAC1	0.256633333	0.30225002
ROPN1L	-0.1108025	0.302329761
SLC39A11	-0.6051275	0.30234662
BEAN1	-0.133389167	0.302354618
EBF2	0.097800833	0.302499604
ARMC4	-0.076647917	0.30251471
UIMC1	-0.144920417	0.302516408
ZGPAT	-0.10478	0.302540612
RPL18	0.074345833	0.302565167
GPI	0.134333333	0.302577856
SMARCA1	-0.325205833	0.302612471
PDS5B	-0.316040417	0.302735634
WDR13	0.188875833	0.302838288
ANKAR	-0.198442083	0.302858196
ALDH7A1	0.5616975	0.302862058
FGGY	-0.331297083	0.3028712
ALPK1	-0.539010833	0.302878567
NPHP4	0.10605125	0.302915829
CHCHD5	0.16966375	0.302925725
TPM4	0.368059167	0.302926111
ARFIP1	-0.322438333	0.303031586
DYRK2	-0.18618875	0.30304274
EGR2	0.50226875	0.303054083
PPIL1	0.200481667	0.303083367
SCN1B	-0.071677917	0.303099111
FIG4	0.451100833	0.303120896
SLC44A2	0.600027917	0.3032444
LINC00467	-0.299750833	0.303280147
SHC3	-0.152550417	0.303463304
CHORDC1	-0.516855	0.303469289
KIAA0125	0.33014125	0.303542789
LOC400997	-0.112276667	0.303641184
SPRY3	-0.048955	0.303646267
SPRY3	-0.048955	0.303646267
OSGEPL1	0.240896667	0.303675229
OR4A47	0.09415375	0.303716439
HBB	0.086598333	0.303733962
FBXO22	0.25766875	0.303743437
TCHP	-0.26726375	0.30377801
TACSTD2	-0.0682975	0.3037994
C9orf89	-0.096007083	0.303968912
BCR	-0.583925	0.304055145
OR6C6	0.045882917	0.30406229
ZBP1	-0.090398333	0.304082817
LILRB2	0.148729583	0.304119772
CRNN	-0.0948675	0.304156283
GGTA1P	0.111036667	0.304263706
LYRM4	-0.22641625	0.304265114
BTF3P11	-0.10834875	0.304277004
PA2G4	-0.145195833	0.304313071
FAM69C	0.109005417	0.304402549
RING1	0.183224583	0.304534777
THAP5	0.1601075	0.304572027
OR5P3	-0.111990417	0.304576895
FAM212A	0.27104	0.304603391
GNA12	-0.52838125	0.304617605
ING3	-0.404478333	0.304677448
MMP16	0.119786667	0.304756631
PIH1D2	0.3602875	0.304778759
ZC3HAV1L	-0.470934167	0.304782904
BUB1B	0.188354583	0.304804787
HP1BP3	0.069150833	0.304848071
HSPA13	-0.281810417	0.304891674
TGFBR3	-0.246508333	0.304998224
C2CD2L	-0.11216	0.305023588
POLD4	0.55791125	0.305174653
NPTX2	-0.12849375	0.305188016
ZFPL1	0.121547083	0.305193944
TRPV1	0.103824167	0.305234819
TCP1	-0.196720833	0.305242415
H2AFY	-0.234581667	0.30537932
PBDC1	-0.15413625	0.305418561
NAP1L2	0.075576667	0.305428484
WNT10B	-0.147910833	0.305473094
CRISPLD2	0.118180417	0.305478652
CYP4F2	-0.078736667	0.305546349
KLHL21	0.237820417	0.305552531
MGAT5	0.457182917	0.305591975
VPS37A	-0.263909167	0.305608712
ZBTB6	-0.495591667	0.305666571
POT1	-0.343875	0.305690067
OR5AP2	-0.0900975	0.305706657
UTS2R	-0.15108125	0.305718154
DBH	-0.149468333	0.305851353
SERPINB6	-0.434712917	0.305866741
AKIRIN1	-0.1689775	0.305907531
COL2A1	-0.09757625	0.305998142
SCG2	-0.08605625	0.306018981
ATP5S	0.196511667	0.306038297
RGCC	0.926189583	0.306062103
CMTM3	-0.244208333	0.306138453
NEFM	-0.102558333	0.306144196
MID2	-0.214419583	0.306147406
CKS1B	-0.125750833	0.306177964
OSGIN2	-0.191639167	0.306183279
C14orf56	-0.056824167	0.306205924
SDPR	-0.295341667	0.306231829
IL17C	0.10015375	0.306244868
SSPO	-0.08954125	0.306276157
MMP25	-0.104856667	0.306313903
BAALC-AS2	-0.09636125	0.306436483
ABCB11	0.05952875	0.30654432
SNORA15	0.2028375	0.306559421
EPHB6	-0.136194583	0.306642293
CACNA2D3	-0.233320833	0.306845307
CPXM1	-0.68326375	0.307009108
C12orf66	-0.229375	0.307061263
NAT10	-0.19628125	0.307082683
INTS1	-0.220705417	0.307137647
APPBP2	-0.204687083	0.30727332
SIL1	0.19903875	0.307314627
COX7C	0.16501125	0.307360857
HCG27	0.125859583	0.307367147
SAMD3	0.049820833	0.307378869
CCDC140	-0.105125417	0.307387409
SNCAIP	-0.449030417	0.307387971
RPL23A	0.131330417	0.30740899
PPIL4	-0.2487725	0.307431869
XRCC4	-0.44372375	0.307457541
